name, value
snp1,1
snp2,1
snp3,1
snp4,2
snp5,21
snp6,14
snp7,45
snp8,2
snp9,1
snp10,4
snp11,5
snp12,3
snp13,0
snp14,1
snp15,2
snp16,2
snp17,4
snp18,99
snp19,77
snp20,0
snp21,1
snp22,3
snp23,3
snp24,5
snp25,3
snp26,104
snp27,3
snp28,5
snp29,3
snp30,3
snp31,5
snp32,2
snp33,1
snp34,3
snp35,2
snp36,71
snp37,95
snp38,94
snp39,5
snp40,5
snp41,5
snp42,1
snp43,10
snp44,2
snp45,7
snp46,2
snp47,1
snp48,7
snp49,26
snp50,14
snp51,2
snp52,2
snp53,8
snp54,5
snp55,5
snp56,1
snp57,1
snp58,1
snp59,3
snp60,17
snp61,25
snp62,18
snp63,0
snp64,1
snp65,64
snp66,1
snp67,0
snp68,5
snp69,10
snp70,5
snp71,30
snp72,27
snp73,0
snp74,0
snp75,9
snp76,47
snp77,0
snp78,1
snp79,1
snp80,1
snp81,96
snp82,1
snp83,1
snp84,97
snp85,2
snp86,73
snp87,2
snp88,2
snp89,2
snp90,77
snp91,2
snp92,7
snp93,2
snp94,31
snp95,6
snp96,96
snp97,55
snp98,2
snp99,1
snp100,1
snp101,24
snp102,93
snp103,4
snp104,21
snp105,20
snp106,22
snp107,50
snp108,14
snp109,47
snp110,57
snp111,48
snp112,52
snp113,65
snp114,103
snp115,69
snp116,12
snp117,83
snp118,1
snp119,21
snp120,1
snp121,68
snp122,2
snp123,38
snp124,22
snp125,67
snp126,25
snp127,2
snp128,0
snp129,37
snp130,111
snp131,19
snp132,19
snp133,30
snp134,96
snp135,1
snp136,1
snp137,48
snp138,47
snp139,1
snp140,38
snp141,1
snp142,2
snp143,79
snp144,1
snp145,27
snp146,16
snp147,0
snp148,104
snp149,0
snp150,37
snp151,80
snp152,24
snp153,61
snp154,1
snp155,67
snp156,2
snp157,42
snp158,0
snp159,2
snp160,106
snp161,32
snp162,46
snp163,0
snp164,4
snp165,1
snp166,14
snp167,1
snp168,1
snp169,32
snp170,10
snp171,2
snp172,0
snp173,26
snp174,24
snp175,57
snp176,25
snp177,38
snp178,1
snp179,16
snp180,1
snp181,3
